baseline_method,sample_id,sample_potential_mV_vs_AgAgCl,manual_potential_mV_vs_AgAgCl,potential_gap_mV,manual_centre_cm1,manual_height,original_centre_cm1,original_height,centre_abs_error_cm1,height_abs_error,height_relative_error_percent,peak_match,match_reason,nearest_fitted_centre_cm1,nearest_centre_distance_cm1
Original ProSpecPy,011a,0.0,-225.0,225.0,1937.90942,0.01489,,,,,,False,nearest_peak_outside_centre_tolerance,1958.242466850288,20.333046850288156
Original ProSpecPy,011a,0.0,-225.0,225.0,1946.0,0.10093,,,,,,False,nearest_peak_outside_centre_tolerance,1958.242466850288,12.24246685028811
Original ProSpecPy,011a,0.0,-225.0,225.0,2074.0,0.01404,,,,,,False,nearest_peak_outside_centre_tolerance,1958.242466850288,115.75753314971189
Original ProSpecPy,011a,0.0,-225.0,225.0,2084.0,0.0227,,,,,,False,nearest_peak_outside_centre_tolerance,1958.242466850288,125.75753314971189
Original ProSpecPy,011a,0.0,-225.0,225.0,2063.0,0.00138,,,,,,False,nearest_peak_outside_centre_tolerance,1958.242466850288,104.75753314971189
Original ProSpecPy,011a,0.0,-225.0,225.0,1952.0,0.00807,,,,,,False,nearest_peak_outside_centre_tolerance,1958.242466850288,6.24246685028811
Original ProSpecPy,011b,-50.0,-225.0,175.0,1937.90942,0.01489,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2990825506288,20.389662550628827
Original ProSpecPy,011b,-50.0,-225.0,175.0,1946.0,0.10093,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2990825506288,12.299082550628782
Original ProSpecPy,011b,-50.0,-225.0,175.0,2074.0,0.01404,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2990825506288,115.70091744937122
Original ProSpecPy,011b,-50.0,-225.0,175.0,2084.0,0.0227,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2990825506288,125.70091744937122
Original ProSpecPy,011b,-50.0,-225.0,175.0,2063.0,0.00138,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2990825506288,104.70091744937122
Original ProSpecPy,011b,-50.0,-225.0,175.0,1952.0,0.00807,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2990825506288,6.299082550628782
Original ProSpecPy,011c,-100.0,-225.0,125.0,1937.90942,0.01489,,,,,,False,nearest_peak_outside_centre_tolerance,1958.212888987004,20.303468987003953
Original ProSpecPy,011c,-100.0,-225.0,125.0,1946.0,0.10093,,,,,,False,nearest_peak_outside_centre_tolerance,1958.212888987004,12.212888987003907
