baseline_method,sample_id,sample_potential_mV_vs_AgAgCl,manual_potential_mV_vs_AgAgCl,potential_gap_mV,manual_centre_cm1,manual_height,original_centre_cm1,original_height,centre_abs_error_cm1,height_abs_error,height_relative_error_percent,peak_match,match_reason,nearest_fitted_centre_cm1,nearest_centre_distance_cm1
Original ProSpecPy,011f,-250.0,-250.0,0.0,1946.0,0.0934,1947.399028902181,0.0295637882729259,1.399028902181044,0.0638362117270741,68.34712176346264,True,nearest_peak_within_tolerance,1947.399028902181,1.399028902181044
Original ProSpecPy,011g,-275.0,-250.0,25.0,1946.0,0.0934,1947.3567809233373,0.047684751896462,1.3567809233372827,0.045715248103538,48.94566178108993,True,nearest_peak_within_tolerance,1947.3567809233373,1.3567809233372827
Original ProSpecPy,011h,-300.0,-325.0,25.0,1946.0,0.02722,1947.5893493868489,0.0836818628637546,1.5893493868488804,0.056461862863754604,207.42785769197133,True,nearest_peak_within_tolerance,1947.5893493868489,1.5893493868488804
Original ProSpecPy,011i,-325.0,-325.0,0.0,1946.0,0.02722,1947.484843737757,0.0915415912096027,1.4848437377570463,0.06432159120960271,236.302686295381,True,nearest_peak_within_tolerance,1947.484843737757,1.4848437377570463
Original ProSpecPy,011k,-375.0,-375.0,0.0,1946.0,0.07596,1947.3701646493687,0.1018531252431516,1.3701646493686894,0.0258931252431516,34.08784260551816,True,nearest_peak_within_tolerance,1947.3701646493687,1.3701646493686894
Original ProSpecPy,011l,-400.0,-400.0,0.0,1946.0,0.06529,1947.0849381864907,0.1023578644093635,1.0849381864907173,0.037067864409363493,56.774183503390255,True,nearest_peak_within_tolerance,1947.0849381864907,1.0849381864907173
Original ProSpecPy,011m,-425.0,-425.0,0.0,1946.0,0.04021,1946.135785079532,0.0716667014571209,0.13578507953207009,0.03145670145712089,78.23104067923624,True,nearest_peak_within_tolerance,1946.135785079532,0.13578507953207009
Original ProSpecPy,011m,-425.0,-425.0,0.0,1965.0,0.04169,1966.494048402927,0.0534330272574337,1.494048402927092,0.011743027257433702,28.16749162253227,True,nearest_peak_within_tolerance,1966.494048402927,1.494048402927092
Original ProSpecPy,011n,-450.0,-425.0,25.0,1946.0,0.04021,1946.405151661546,0.0605449820714631,0.405151661545915,0.0203349820714631,50.57195242840861,True,nearest_peak_within_tolerance,1946.405151661546,0.405151661545915
Original ProSpecPy,011n,-450.0,-425.0,25.0,1965.0,0.04169,1966.3002489170883,0.0729766968006731,1.300248917088311,0.03128669680067311,75.04604653555555,True,nearest_peak_within_tolerance,1966.3002489170883,1.300248917088311
Original ProSpecPy,011p,-500.0,-525.0,25.0,1946.0,0.02126,1946.7559223399087,0.048169276331361,0.7559223399086932,0.026909276331360997,126.57232517103007,True,nearest_peak_within_tolerance,1946.7559223399087,0.7559223399086932
Original ProSpecPy,011p,-500.0,-525.0,25.0,1965.0,0.04632,1966.168769995082,0.0799705010799136,1.1687699950819024,0.0336505010799136,72.64788661466667,True,nearest_peak_within_tolerance,1966.168769995082,1.1687699950819024
Original ProSpecPy,011q,-550.0,-525.0,25.0,1965.0,0.04632,1966.1632209142588,0.0828378037692592,1.1632209142587726,0.0365178037692592,78.83809103898791,True,nearest_peak_within_tolerance,1966.1632209142588,1.1632209142587726
Original ProSpecPy,011r,-600.0,-625.0,25.0,1965.0,0.04656,1966.4626078615272,0.0629543058773582,1.4626078615272036,0.016394305877358205,35.21113805274529,True,nearest_peak_within_tolerance,1966.4626078615272,1.4626078615272036
Original ProSpecPy,011r,-600.0,-625.0,25.0,1907.6,0.01951,1908.1871732604168,0.0222912139473943,0.5871732604168756,0.0027812139473942996,14.25532520448129,True,nearest_peak_within_tolerance,1908.1871732604168,0.5871732604168756
Original ProSpecPy,011r,-600.0,-625.0,25.0,1952.0,0.01371,1951.7171938345869,0.0195801677596081,0.28280616541314885,0.005870167759608101,42.81668679509921,True,nearest_peak_within_tolerance,1951.7171938345869,0.28280616541314885
Original ProSpecPy,011s,-700.0,-725.0,25.0,1965.0,0.05056,1966.030188921812,0.0523170698054567,1.0301889218119413,0.0017570698054567013,3.475217178514045,True,nearest_peak_within_tolerance,1966.030188921812,1.0301889218119413
Original ProSpecPy,011s,-700.0,-725.0,25.0,1907.6,0.01327,1908.0710998227655,0.0279258068214396,0.47109982276560913,0.0146558068214396,110.44315615252147,True,nearest_peak_within_tolerance,1908.0710998227655,0.47109982276560913
Original ProSpecPy,011s,-700.0,-725.0,25.0,1952.0,0.01026,1951.8385637406584,0.0463456837507202,0.161436259341599,0.0360856837507202,351.7123172584815,True,nearest_peak_within_tolerance,1951.8385637406584,0.161436259341599
Original ProSpecPy,011t,-800.0,-825.0,25.0,1965.0,0.04666,1965.8912443826853,0.0489727823920565,0.8912443826852723,0.0023127823920564977,4.956670364458846,True,nearest_peak_within_tolerance,1965.8912443826853,0.8912443826852723
Original ProSpecPy,011t,-800.0,-825.0,25.0,1952.0,0.01381,1951.8737154673984,0.0471080001416102,0.12628453260163042,0.033298000141610204,241.11513498631575,True,nearest_peak_within_tolerance,1951.8737154673984,0.12628453260163042
