baseline_method,sample_id,sample_potential_mV_vs_AgAgCl,manual_potential_mV_vs_AgAgCl,potential_gap_mV,matched_peak_count,centre_MAE_cm1,height_MAE,height_mean_relative_error_percent,height_normalized_aggregate_error
Original ProSpecPy,011f,-250.0,-250.0,0.0,1,1.399028902181044,0.0638362117270741,68.34712176346264,0.6834712176346264
Original ProSpecPy,011g,-275.0,-250.0,25.0,1,1.3567809233372827,0.045715248103538,48.94566178108993,0.48945661781089933
Original ProSpecPy,011h,-300.0,-325.0,25.0,1,1.5893493868488804,0.056461862863754604,207.42785769197133,2.0742785769197134
Original ProSpecPy,011i,-325.0,-325.0,0.0,1,1.4848437377570463,0.06432159120960271,236.302686295381,2.36302686295381
Original ProSpecPy,011k,-375.0,-375.0,0.0,1,1.3701646493686894,0.0258931252431516,34.08784260551816,0.34087842605518165
Original ProSpecPy,011l,-400.0,-400.0,0.0,1,1.0849381864907173,0.037067864409363493,56.774183503390255,0.5677418350339025
Original ProSpecPy,011m,-425.0,-425.0,0.0,2,0.814916741229581,0.021599864357277298,53.199266150884256,0.5274692150739266
Original ProSpecPy,011n,-450.0,-425.0,25.0,2,0.852700289317113,0.025810839436068104,62.80899948198208,0.6303013293301124
Original ProSpecPy,011o,-475.0,-525.0,50.0,2,0.8357478905819562,0.0338654289935151,124.0802961319043,1.002232287467153
Original ProSpecPy,011p,-500.0,-525.0,25.0,2,0.9623461674952978,0.0302798887056373,99.61010589284837,0.8961198196400503
Original ProSpecPy,011q,-550.0,-525.0,25.0,1,1.1632209142587726,0.0365178037692592,78.83809103898791,0.7883809103898791
Original ProSpecPy,011r,-600.0,-625.0,25.0,3,0.7775290957857427,0.008348562528120202,30.76105001744193,0.31393441444422926
Original ProSpecPy,011s,-700.0,-725.0,25.0,3,0.5542416679730499,0.017499520125872168,155.21023019650568,0.708578220780355
Original ProSpecPy,011t,-800.0,-825.0,25.0,2,0.5087644576434514,0.01780539126683335,123.0359026753873,0.5888999922881876
