group,metric,value,notes
exact_potential,matched_peak_count,6.0,potential_gap_mV == 0
exact_potential,unique_sample_count,5.0,potential_gap_mV == 0
exact_potential,centre_MAE_cm1,1.1614681597094432,Mean absolute peak-centre error.
exact_potential,centre_median_absolute_error_cm1,1.3845967757748667,Median absolute peak-centre error.
exact_potential,centre_max_absolute_error_cm1,1.494048402927092,Largest peak-centre error.
exact_potential,height_MAE,0.03905308688395775,Mean absolute peak-height error.
exact_potential,height_median_absolute_error,0.0342622829332422,Median absolute peak-height error.
exact_potential,height_mean_relative_error_percent,83.6517277449201,Mean row-wise relative height error; can be inflated by very small manual heights.
exact_potential,height_normalized_aggregate_error,0.6816142226015839,sum(abs(Original-manual)) / sum(abs(manual)); more stable than averaging row-wise percentages.
within_25mV,matched_peak_count,21.0,potential_gap_mV <= 25
within_25mV,unique_sample_count,13.0,potential_gap_mV <= 25
within_25mV,centre_MAE_cm1,0.9390997287090331,Mean absolute peak-centre error.
within_25mV,centre_median_absolute_error_cm1,1.0849381864907173,Median absolute peak-centre error.
within_25mV,centre_max_absolute_error_cm1,1.5893493868488804,Largest peak-centre error.
within_25mV,height_MAE,0.02849285346758823,Mean absolute peak-height error.
within_25mV,height_median_absolute_error,0.03128669680067311,Median absolute peak-height error.
within_25mV,height_mean_relative_error_percent,93.61646827256419,Mean row-wise relative height error; can be inflated by very small manual heights.
within_25mV,height_normalized_aggregate_error,0.6841959942132948,sum(abs(Original-manual)) / sum(abs(manual)); more stable than averaging row-wise percentages.
within_50mV,matched_peak_count,23.0,potential_gap_mV <= 50
within_50mV,unique_sample_count,14.0,potential_gap_mV <= 50
within_50mV,centre_MAE_cm1,0.9301126123501569,Mean absolute peak-centre error.
within_50mV,centre_median_absolute_error_cm1,1.0849381864907173,Median absolute peak-centre error.
within_50mV,centre_max_absolute_error_cm1,1.5893493868488804,Largest peak-centre error.
within_50mV,height_MAE,0.02896003394810362,Mean absolute peak-height error.
within_50mV,height_median_absolute_error,0.03128669680067311,Median absolute peak-height error.
within_50mV,height_mean_relative_error_percent,96.26549678207202,Mean row-wise relative height error; can be inflated by very small manual heights.
within_50mV,height_normalized_aggregate_error,0.7070095644949986,sum(abs(Original-manual)) / sum(abs(manual)); more stable than averaging row-wise percentages.
