fit_attempt_id,processing_run_id,sample_id,raw_file,run_timestamp_utc,software_version,processing_mode,fit_attempt_status,fit_model,solver,bound_profile_id,wavenumber_min_cm1,wavenumber_max_cm1,threshold,adjustment_factor,atmospheric_correction_method,baseline_method,baseline_config_json,detected_peak_count,fitted_peak_count,fit_converged,solver_status,solver_message,nfev,rmse,residual_mean,residual_max_abs,input_qc_pass,input_qc_reason,baseline_qc_pass,baseline_qc_reason,baseline_over_fraction,baseline_max_overshoot,baseline_oversubtraction_area,zero_clipping_fraction,fit_valid,fit_valid_reason,needs_manual_review,manual_review_reason,overall_qc,overall_qc_reason,triggered_rule_count,notes
erni-arpls-167-gaussian,erni-arpls-167,167,167 Hyd1 pD6 cell 9 36 objective 20x20 m400.0013,2026-07-21T21:21:46Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Gaussian,scipy.optimize.curve_fit,pD6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":50,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",6,6,TRUE,COMPLETED,,,0.0008252792182052418,0.000334453002684696,0.0031729139213821328,TRUE,,TRUE,,,,,0.422,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-167_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-167-lorentzian,erni-arpls-167,167,167 Hyd1 pD6 cell 9 36 objective 20x20 m400.0013,2026-07-21T21:21:46Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Lorentzian,scipy.optimize.curve_fit,pD6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":50,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",6,6,TRUE,COMPLETED,,,0.0011441970263938298,-4.32358842665174e-05,0.004095925971274679,TRUE,,TRUE,,,,,0.422,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-167_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-169-gaussian,erni-arpls-169,169,169 Hyd1 pD6 cell 9 36 objective 20x20 m425 titration.0023,2026-07-21T21:21:46Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Gaussian,scipy.optimize.curve_fit,pD6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":50,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",5,5,TRUE,COMPLETED,,,0.00109337002335015,0.00025536598514480554,0.0038024821316162026,TRUE,,TRUE,,,,,0.421,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-169_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-169-lorentzian,erni-arpls-169,169,169 Hyd1 pD6 cell 9 36 objective 20x20 m425 titration.0023,2026-07-21T21:21:46Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Lorentzian,scipy.optimize.curve_fit,pD6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":50,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",5,5,TRUE,COMPLETED,,,0.0012098014205352283,-0.00014356250930025737,0.003687945538804297,TRUE,,TRUE,,,,,0.421,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-169_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-170-gaussian,erni-arpls-170,170,170 Hyd1 pD6 cell 9 36 objective 20x20 m450 titration.0008,2026-07-21T21:21:46Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Gaussian,scipy.optimize.curve_fit,pD6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":50,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",6,6,TRUE,COMPLETED,,,0.001601595871161013,0.0005578369488654351,0.009237881461970465,TRUE,,TRUE,,,,,0.423,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-170_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-170-lorentzian,erni-arpls-170,170,170 Hyd1 pD6 cell 9 36 objective 20x20 m450 titration.0008,2026-07-21T21:21:46Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Lorentzian,scipy.optimize.curve_fit,pD6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":50,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",6,6,TRUE,COMPLETED,,,0.001719438928465691,0.00023117287898834045,0.009019700602014676,TRUE,,TRUE,,,,,0.423,FALSE,fit_safety_checks_failed,FALSE,,FALSE,fit_invalid,1,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-170_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-171-gaussian,erni-arpls-171,171,171 Hyd1 pD6 cell 9 36 objective 20x20 m475 titration.0007,2026-07-21T21:21:46Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Gaussian,scipy.optimize.curve_fit,pD6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":50,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",6,6,TRUE,COMPLETED,,,0.0009696729282070169,0.00026691016792017167,0.0034498188981744882,TRUE,,TRUE,,,,,0.431,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-171_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-171-lorentzian,erni-arpls-171,171,171 Hyd1 pD6 cell 9 36 objective 20x20 m475 titration.0007,2026-07-21T21:21:46Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Lorentzian,scipy.optimize.curve_fit,pD6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":50,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",6,6,TRUE,COMPLETED,,,0.001169853648246056,-8.31790210275504e-05,0.0033182310103645985,TRUE,,TRUE,,,,,0.431,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-171_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-172-gaussian,erni-arpls-172,172,172 Hyd1 pD6 cell 9 36 objective 20x20 m500 titration.0014,2026-07-21T21:21:46Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Gaussian,scipy.optimize.curve_fit,pD6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":50,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",7,7,TRUE,COMPLETED,,,0.0013195828907404104,0.0002783940390508712,0.0071623987932274424,TRUE,,TRUE,,,,,0.404,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-172_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-172-lorentzian,erni-arpls-172,172,172 Hyd1 pD6 cell 9 36 objective 20x20 m500 titration.0014,2026-07-21T21:21:46Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Lorentzian,scipy.optimize.curve_fit,pD6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":50,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",7,7,TRUE,COMPLETED,,,0.0014831392936557523,-8.980625555817391e-05,0.007044934385189588,TRUE,,TRUE,,,,,0.404,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-172_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
