peak_result_id,fit_attempt_id,peak_index,peak_identity,peak_assignment_status,reference_evidence_ids,matched_reference_centre_cm1,initial_centre_cm1,initial_model_amplitude,initial_fwhm_cm1,fitted_centre_cm1,centre_deviation_cm1,raw_model_amplitude,raw_width_parameter,raw_width_parameter_name,peak_height,peak_area,fwhm_cm1,position_stderr,height_stderr,area_stderr,fwhm_stderr,peak_valid,peak_valid_reason,needs_manual_review,manual_review_reason,notes
original-anchor-spline-011a-gaussian-p001,original-anchor-spline-011a-gaussian,1,,unassigned,,,1958.2762762762763,,,1958.2424668502877,,0.8184227657069325,2.9028938784265628,sigma,0.11247515691498297,0.8184227657069325,6.835792693516506,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
original-anchor-spline-011a-lorentzian-p001,original-anchor-spline-011a-lorentzian,1,,unassigned,,,1958.2762762762763,,,1958.2555832298387,,0.1227559193685735,2.6760195387382093,gamma,0.1227559193685735,1.0320045119063692,5.352039077476419,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
original-anchor-spline-011b-gaussian-p001,original-anchor-spline-011b-gaussian,1,,unassigned,,,1958.2762762762763,,,1958.2990825506286,,0.8210581900436736,2.8881165869510017,sigma,0.11341468282764071,0.8210581900436736,6.800994831338589,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
original-anchor-spline-011b-lorentzian-p001,original-anchor-spline-011b-lorentzian,1,,unassigned,,,1958.2762762762763,,,1958.3141640026056,,0.12368585821593232,2.6640704065763443,gamma,0.12368585821593232,1.0351793924327144,5.328140813152689,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
original-anchor-spline-011c-gaussian-p001,original-anchor-spline-011c-gaussian,1,,unassigned,,,1958.2762762762763,,,1958.212888987004,,0.8276972024663445,2.897642835379603,sigma,0.11395586971661806,0.8276972024663445,6.823427432092204,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
original-anchor-spline-011c-gaussian-p002,original-anchor-spline-011c-gaussian,2,,unassigned,,,2092.957957957958,,,2092.949408553833,,0.09384275968561331,1.9061015895605682,sigma,0.019641054156391065,0.09384275968561331,4.488526230962581,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
original-anchor-spline-011c-lorentzian-p001,original-anchor-spline-011c-lorentzian,1,,unassigned,,,1958.2762762762763,,,1958.2305793777023,,0.12413625782996084,2.6750892661581562,gamma,0.12413625782996084,1.0432461738566006,5.3501785323163125,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
original-anchor-spline-011c-lorentzian-p002,original-anchor-spline-011c-lorentzian,2,,unassigned,,,2092.957957957958,,,2092.9494826453374,,0.02101523545290451,1.7758612922171406,gamma,0.02101523545290451,0.11724468766921674,3.5517225844342812,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
original-anchor-spline-011d-gaussian-p001,original-anchor-spline-011d-gaussian,1,,unassigned,,,1958.2762762762763,,,1958.231778081696,,0.7926131552977954,2.886283338161784,sigma,0.10955504453421516,0.7926131552977954,6.796677860342211,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
original-anchor-spline-011d-lorentzian-p001,original-anchor-spline-011d-lorentzian,1,,unassigned,,,1958.2762762762763,,,1958.2512130411947,,0.11938845047288875,2.6638580336530175,gamma,0.11938845047288875,0.9991329101665375,5.327716067306035,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
